City Name,2023_Score_Max10000,2022_Score_Max7500,2020_Score_Max6000,2019_Score_5000,2018_Score,2017_Score,2016_Score
INDORE,9348.39,7146.41,5647.56,4659.0,3707.0,1808.0,1276.0
SURAT,9348.39,6924.84,5519.59,3861.0,3318.0,1762.0,1605.0
NAVI MUMBAI,9240.3,6852.91,5467.89,4129.0,3536.0,1705.0,1530.0
VISAKHAPATNAM,8879.3,6701.18,4918.44,3744.0,3547.0,1797.0,1643.0
BHOPAL,8855.2,6608.41,5066.31,3794.0,3689.0,1800.0,1336.0
VIJAYAWADA,8751.3,6699.3,5270.32,3882.0,3580.0,1624.0,1284.0
NEW DELHI (NDMC),8728.3,6550.04,5193.27,4191.0,3597.0,1708.0,1704.0
GREATER HYDERABAD,8601.3,5612.68,4047.01,3455.0,3092.0,1605.0,1355.0
PUNE,8595.2,5708.42,4477.31,3446.0,3471.0,1660.0,1533.0
RAIPUR,8540.2,5395.31,4098.72,3393.0,2904.4156626506024,1175.0,818.0
PIMPRI CHINCHWAD,8536.7,5051.48,3945.1,3228.0,2935.0,1320.0,1559.0
AHMEDABAD,8041.5,5720.87,5207.13,4137.0,3373.0,1657.0,1452.0
GWALIOR,7994.7,5204.96,4696.36,3148.0,3083.0,1545.0,1235.0
JABALPUR,7760.9,4677.88,4368.55,3667.0,3096.0,1609.0,872.0
THANE,7520.3,5308.01,4606.35,3181.0,2967.0,1206.0,1367.0
RAJKOT,7465.8,5846.0,5157.36,4000.0,3000.0,1638.0,1574.0
NASHIK,7372.2,4991.86,4729.46,3093.0,2786.0,1106.0,1232.0
VADODARA,7344.2,5285.67,4870.34,3000.0,2925.0,1703.0,1511.0
GHAZIABAD,7222.5,5387.67,4283.26,3877.0,2993.0,672.0,820.0
VARANASI,7107.1,4734.69,3684.2,3063.0,3052.0,1515.0,839.0
LUCKNOW,7009.0,5209.69,4728.28,3382.0597014925374,2904.4156626506024,860.0,1237.0
AURANGABAD,6737.8,4145.17,3729.63,3382.0597014925374,2904.4156626506024,794.0,981.0
